LabelValue,Name,Color_R,Color_G,Color_B,Color_A,Category_CodingScheme,Category_CodeValue,Category_CodeMeaning,Type_CodingScheme,Type_CodeValue,Type_CodeMeaning,TypeModifier_CodingScheme,TypeModifier_CodeValue,TypeModifier_CodeMeaning,Region_CodingScheme,Region_CodeValue,Region_CodeMeaning,RegionModifier_CodingScheme,RegionModifier_CodeValue,RegionModifier_CodeMeaning
1,heart,255,0,204,255,SCT,123037004,Anatomical Structure,ZFA,114,heart,,,,,,,,,
2,atrium,255,0,238,255,SCT,123037004,Anatomical Structure,ZFA,471,atrium,,,,,,,,,
3,bulbus arteriosus,255,0,171,255,SCT,123037004,Anatomical Structure,ZFA,173,bulbus arteriosus,,,,,,,,,
4,ventricle,255,0,170,255,SCT,123037004,Anatomical Structure,ZFA,9,cardiac ventricle,,,,,,,,,
5,central cardinal vein(common cardinal vein),255,0,187,255,SCT,123037004,Anatomical Structure,ZFA,186,common cardinal vein,,,,,,,,,
6,esophagus,116,255,127,255,SCT,123037004,Anatomical Structure,ZFA,204,esophagus,,,,,,,,,
7,intestine,200,255,180,255,SCT,123037004,Anatomical Structure,ZFA,1338,intestine,,,,,,,,,
8,yolk,142,255,153,255,SCT,123037004,Anatomical Structure,ZFA,84,yolk,,,,,,,,,
9,liver,142,255,138,255,SCT,123037004,Anatomical Structure,ZFA,123,liver,,,,,,,,,
10,pancreas,142,255,0,255,SCT,123037004,Anatomical Structure,ZFA,140,pancreas,,,,,,,,,
11,pronephros,148,231,255,255,SCT,123037004,Anatomical Structure,ZFA,151,pronephros,,,,,,,,,
12,kidney,145,231,255,255,SCT,123037004,Anatomical Structure,ZFA,529,kidney,,,,,,,,,
13,pronephric duct,148,231,221,255,SCT,123037004,Anatomical Structure,ZFA,150,pronephric duct,,,,,,,,,
14,caudal fin,233,91,32,255,SCT,123037004,Anatomical Structure,ZFA,1058,caudal fin,,,,,,,,,
15,pectoral fin,233,91,0,255,SCT,123037004,Anatomical Structure,ZFA,1161,pectoral fin,,,,,,,,,
16,cephalic musculature,31,0,212,255,SCT,123037004,Anatomical Structure,ZFA,328,cephalic musculature,,,,,,,,,
17,pharyngeal musculature,255,255,255,255,SCT,123037004,Anatomical Structure,ZFA,1307,pharyngeal musculature,,,,,,,,,
18,sternohyoid,31,0,217,255,SCT,123037004,Anatomical Structure,ZFA,1651,sternohyoid,,,,,,,,,
19,trunk musculature,31,0,214,255,SCT,123037004,Anatomical Structure,ZFA,473,trunk musculature,,,,,,,,,
20,somitic muscle,31,0,215,255,SCT,123037004,Anatomical Structure,ZFA,5145,muscle,,,,,,,,,
21,eye,255,0,0,255,SCT,123037004,Anatomical Structure,ZFA,107,eye,,,,,,,,,
22,retinal ganglion cell layer,159,0,136,255,SCT,123037004,Anatomical Structure,ZFA,24,retinal ganglion cell layer,,,,,,,,,
23,lens,159,0,0,255,SCT,123037004,Anatomical Structure,ZFA,35,lens,,,,,,,,,
24,cornea,255,0,128,255,SCT,123037004,Anatomical Structure,ZFA,640,cornea,,,,,,,,,
25,retinal nuclear layers,159,0,72,255,SCT,123037004,Anatomical Structure,ZFA,46,retinal neural layers,,,,,,,,,
26,retinal inner nuclear layer,149,0,64,255,SCT,123037004,Anatomical Structure,ZFA,119,retinal inner nuclear layer,,,,,,,,,
27,retinal outer nuclear layer,149,0,80,255,SCT,123037004,Anatomical Structure,ZFA,1464,retinal outer nuclear layer,,,,,,,,,
28,retinal photoreceptor layer,149,0,40,255,SCT,123037004,Anatomical Structure,ZFA,143,retinal photoreceptor layer,,,,,,,,,
29,retinal pigmented epithelium,159,0,8,255,SCT,123037004,Anatomical Structure,ZFA,144,retinal pigmented epithelium,,,,,,,,,
30,retinal inner plexiform layer,159,0,104,255,SCT,123037004,Anatomical Structure,ZFA,1329,retinal inner plexiform layer,,,,,,,,,
31,retinal outer plexiform layer,159,0,114,255,SCT,123037004,Anatomical Structure,ZFA,1330,retinal outer plexiform layer,,,,,,,,,
32,optic choroid,148,0,96,255,SCT,123037004,Anatomical Structure,ZFA,5229,optic choroid,,,,,,,,,
33,optic nerve head,244,0,34,255,SCT,123037004,Anatomical Structure,ZFA,1625,optic nerve head,,,,,,,,,
34,optic chiasm,244,0,42,255,SCT,123037004,Anatomical Structure,ZFA,556,optic chiasm,,,,,,,,,
35,spinal cord,180,0,42,255,SCT,123037004,Anatomical Structure,ZFA,75,spinal cord,,,,,,,,,
36,notochord,180,0,10,255,SCT,123037004,Anatomical Structure,ZFA,135,notochord,,,,,,,,,
37,brain,255,10,17,255,SCT,123037004,Anatomical Structure,ZFA,8,brain,,,,,,,,,
38,naris,255,16,80,255,SCT,123037004,Anatomical Structure,ZFA,550,naris,,,,,,,,,
39,olfactory pit,255,16,0,255,SCT,123037004,Anatomical Structure,ZFA,130,olfactory pit,,,,,,,,,
40,olfactory epithelium,255,17,0,255,SCT,123037004,Anatomical Structure,ZFA,554,olfactory epithelium,,,,,,,,,
41,otolith,180,0,15,255,SCT,123037004,Anatomical Structure,ZFA,1617,otolith,,,,,,,,,
42,inner ear,180,0,13,255,SCT,123037004,Anatomical Structure,ZFA,217,inner ear,,,,,,,,,
43,semicircular canal,255,255,255,255,SCT,123037004,Anatomical Structure,ZFA,431,semicircular canal,,,,,,,,,
44,lateral semicircular canal,255,255,255,255,SCT,123037004,Anatomical Structure,ZFA,220,lateral semicircular canal,,,,,,,,,
45,posterior semicircular canal,255,255,255,255,SCT,123037004,Anatomical Structure,ZFA,262,posterior semicircular canal,,,,,,,,,
46,anterior semicircular canal,255,255,255,255,SCT,123037004,Anatomical Structure,ZFA,314,anterior semicircular canal,,,,,,,,,
47,otic sensory epithelium,255,0,7,255,SCT,123037004,Anatomical Structure,ZFA,7070,otic sensory epithelium,,,,,,,,,
48,epiphysis,255,255,255,255,SCT,123037004,Anatomical Structure,ZFA,19,epiphysis,,,,,,,,,
49,hypophysis/pituitary,255,126,53,255,SCT,123037004,Anatomical Structure,ZFA,118,hypophysis,,,,,,,,,
