"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
1,"cranium",158,247,109,255,"SCT","123037004","Anatomical Structure","UBERON","0003128","cranium","","","","","","","","",""
2,"mandible",48,16,96,255,"SCT","123037004","Anatomical Structure","UBERON","0001684","mandible","","","","","","","","",""
3,"hyoid apparatus",240,35,157,255,"SCT","123037004","Anatomical Structure","UBERON","0010272","hyoid apparatus","","","","","","","","",""
4,"cervical vertebra",250,170,50,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002413","cervical vertebra","","","","","","","","",""
5,"trunk vertebra",244,45,27,255,"SCT","123037004","Anatomical Structure","UBERON","0011677","trunk vertebra","","","","","","","","",""
6,"sacral vertebra",94,159,199,255,"SCT","123037004","Anatomical Structure","UBERON","0001094","sacral vertebra","","","","","","","","",""
7,"urostyle",87,197,211,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0003106","urostyle","","","","","","","","",""
8,"ilium",101,56,199,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001273","ilium","","","","","","","","",""
9,"ischium",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001274","ischium","","","","","","","","",""
10,"pubis",255,207,218,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001275","pubis","","","","","","","","",""
11,"sternum",87,197,211,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0000975","sternum","","","","","","","","",""
12,"coracoid bone",103,87,138,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0004743","coracoid bone","","","","","","","","",""
13,"scapula",58,149,252,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006849","scapula","","","","","","","","",""
14,"suprascapula",145,235,120,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_3000748","suprascapula","","","","","","","","",""
15,"clavicle bone",116,217,69,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001105","clavicle bone","","","","","","","","",""
16,"humerus",200,200,235,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0000976","humerus","","","","","","","","",""
17,"radio-ulna",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006715","radio-ulna","","","","","","","","",""
18,"carpal bone",145,235,120,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001435","carpal bone","","","","","","","","",""
19,"metacarpal bone",255,207,218,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002374","metacarpal bone","","","","","","","","",""
20,"phalanx of manus",96,211,165,255,"SCT","123037004","Anatomical Structure","UBERON","0001436","phalanx of manus","","","","","","","","",""
21,"prepollex",79,66,53,255,"SCT","123037004","Anatomical Structure","UBERON","0005880","prepollex","","","","","","","","",""
22,"femur",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0000981","femur","","","","","","","","",""
23,"tibiofibula",87,197,211,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006714","tibiofibula","","","","","","","","",""
24,"tarsal bone",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001447","tarsal bone","","","","","","","","",""
25,"tibiale",116,217,69,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001450","calcaneus","","","","","","","","",""
26,"fibulare",109,191,86,255,"SCT","123037004","Anatomical Structure","UBERON","0012126","fibulare","","","","","","","","",""
27,"metatarsal bone",236,148,208,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001448","metatarsal bone","","","","","","","","",""
28,"phalanx of pes",111,181,85,255,"SCT","123037004","Anatomical Structure","UBERON","0001449","phalanx of pes","","","","","","","","",""
