LabelValue,Name,Color_R,Color_G,Color_B,Color_A,Category_CodingScheme,Category_CodeValue,Category_CodeMeaning,Type_CodingScheme,Type_CodeValue,Type_CodeMeaning,TypeModifier_CodingScheme,TypeModifier_CodeValue,TypeModifier_CodeMeaning,Region_CodingScheme,Region_CodeValue,Region_CodeMeaning,RegionModifier_CodingScheme,RegionModifier_CodeValue,RegionModifier_CodeMeaning
1,Alisphenoid,120,82,204,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0006721,Alisphenoid,,,,,,,,,
2,Basioccipital,65,36,128,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001692,Basioccipital,,,,,,,,,
3,Basisphenoid,120,82,204,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0006428,Basisphenoid,,,,,,,,,
4,Dentary,145,235,120,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0004742,Dentary,,,,,,,,,
5,Exoccipital,101,56,199,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0001693,Exoccipital,,,,,,,,,
6,Frontal,125,232,225,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0000209,Frontal,,,,,,,,,
7,Interparietal,103,87,138,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0002229,Interparietal,,,,,,,,,
8,Jugal,144,16,49,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001683,Jugal,,,,,,,,,
9,Lacrimal,50,25,91,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001680,Lacrimal,,,,,,,,,
10,Maxilla,255,237,76,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0002397,Maxilla,,,,,,,,,
11,Nasal,78,91,207,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001681,Nasal,,,,,,,,,
12,Palatine,116,217,69,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001682,Palatine,,,,,,,,,
13,Parietal,255,164,79,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0004339,vault of skull,Uberon,http://purl.obolibrary.org/obo/UBERON_0000210,Parietal,,,,,,,,,
14,Petrosal,218,201,255,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0018348,Petrosal,,,,,,,,,
15,Premaxilla,255,102,184,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0002244,Premaxilla,,,,,,,,,
16,Presphenoid,204,41,150,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0008828,Presphenoid,,,,,,,,,
17,Pterygoid,61,219,190,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_2000240,Pterygoid,,,,,,,,,
18,Squamosal,255,236,179,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_3000619,Squamosal,,,,,,,,,
19,Cranium,185,220,40,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010323,cranial skeletal system,Uberon,http://purl.obolibrary.org/obo/UBERON_0003128,Cranium,,,,,,,,,
20,Malleus,220,30,30,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0001689,Malleus,,,,,,,,,
21,Incus,30,60,200,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0001688,Incus,,,,,,,,,
22,Stapes,40,190,70,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0001687,Stapes,,,,,,,,,
23,Supraoccipital,200,40,50,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0004747,Supraoccipital,,,,,,,,,
24,Orbitosphenoid,240,125,20,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0002478,Orbitosphenoid,,,,,,,,,
25,Vomer,45,105,195,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0002396,Vomer,,,,,,,,,
26,Ectotympanic,0,140,150,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0002218,Ectotympanic,,,,,,,,,
27,Ethmoid,130,75,35,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0001679,Ethmoid,,,,,,,,,
28,Sphenoid,155,70,200,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0001677,Sphenoid,,,,,,,,,
29,Occipital,40,120,60,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0001676,Occipital,,,,,,,,,
30,Temporal,225,95,150,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0001678,Temporal,,,,,,,,,
31,Mandible,175,45,195,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001708,jaw skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001684,Mandible,,,,,,,,,
